frame_index,timestamp_s,timestamp_hms,count_car,count_bus,count_truck,count_2w,count_3w,count_other,total_count,density
141,4.696695018193403,0:00:04,6,3,1,14,8,0,32,0.5333333333333333
142,4.730004911939456,0:00:04,6,3,1,14,8,0,32,0.5333333333333333
143,4.763314805685508,0:00:04,6,3,1,16,8,0,34,0.5666666666666667
144,4.796624699431561,0:00:04,7,3,2,16,8,0,36,0.6
145,4.829934593177613,0:00:04,6,3,0,15,8,0,32,0.5333333333333333
146,4.863244486923666,0:00:04,6,3,0,15,7,0,31,0.5166666666666667
147,4.896554380669718,0:00:04,7,3,0,14,7,0,31,0.5166666666666667
148,4.929864274415771,0:00:04,7,3,0,14,7,0,31,0.5166666666666667
149,4.9631741681618236,0:00:04,6,3,0,14,7,0,30,0.5
150,4.996484061907876,0:00:04,6,3,0,14,7,0,30,0.5
151,5.029793955653928,0:00:05,6,3,0,14,7,0,30,0.5
152,5.0631038493999805,0:00:05,6,3,0,14,7,0,30,0.5
153,5.096413743146034,0:00:05,6,3,0,14,7,0,30,0.5
154,5.129723636892086,0:00:05,6,3,0,14,7,0,30,0.5
155,5.163033530638138,0:00:05,6,3,0,13,7,0,29,0.48333333333333334
156,5.196343424384191,0:00:05,6,3,0,14,7,0,30,0.5
157,5.229653318130244,0:00:05,7,3,0,13,7,0,30,0.5
158,5.262963211876296,0:00:05,6,3,0,12,7,0,28,0.4666666666666667
159,5.296273105622348,0:00:05,7,3,0,13,7,0,30,0.5
160,5.329582999368401,0:00:05,7,4,0,13,7,0,31,0.5166666666666667
161,5.362892893114453,0:00:05,7,4,0,13,7,0,31,0.5166666666666667
162,5.396202786860506,0:00:05,7,4,0,13,7,0,31,0.5166666666666667
163,5.429512680606559,0:00:05,6,4,0,13,7,0,30,0.5
164,5.462822574352611,0:00:05,7,4,0,12,7,0,30,0.5
165,5.496132468098663,0:00:05,7,4,0,11,7,0,29,0.48333333333333334
166,5.529442361844716,0:00:05,7,4,0,11,8,0,30,0.5
167,5.562752255590769,0:00:05,7,4,0,10,8,0,29,0.48333333333333334
168,5.596062149336821,0:00:05,6,4,0,10,8,0,28,0.4666666666666667
169,5.629372043082873,0:00:05,6,4,0,10,8,0,28,0.4666666666666667
170,5.662681936828926,0:00:05,6,4,0,10,8,0,28,0.4666666666666667
171,5.695991830574979,0:00:05,6,3,0,10,8,0,27,0.45
172,5.729301724321031,0:00:05,7,3,0,10,8,0,28,0.4666666666666667
173,5.762611618067083,0:00:05,6,3,0,10,8,0,27,0.45
174,5.795921511813136,0:00:05,6,3,0,10,8,0,27,0.45
175,5.829231405559189,0:00:05,7,4,0,11,8,0,30,0.5
176,5.862541299305241,0:00:05,7,4,0,11,9,0,31,0.5166666666666667
177,5.895851193051294,0:00:05,7,4,0,11,9,0,31,0.5166666666666667
178,5.929161086797346,0:00:05,6,4,0,11,9,0,30,0.5
179,5.962470980543398,0:00:05,6,4,0,11,9,0,30,0.5
180,5.995780874289451,0:00:05,6,3,0,12,9,0,30,0.5
181,6.029090768035504,0:00:06,6,3,0,12,9,0,30,0.5
182,6.062400661781556,0:00:06,6,3,0,13,9,0,31,0.5166666666666667
183,6.095710555527608,0:00:06,6,3,0,11,9,0,29,0.48333333333333334
184,6.1290204492736615,0:00:06,6,3,0,11,9,0,29,0.48333333333333334
185,6.162330343019714,0:00:06,6,3,0,11,9,0,29,0.48333333333333334
186,6.195640236765766,0:00:06,7,4,0,12,9,0,32,0.5333333333333333
187,6.2289501305118185,0:00:06,7,3,0,11,9,0,30,0.5
188,6.262260024257871,0:00:06,7,4,0,12,9,0,32,0.5333333333333333
189,6.295569918003924,0:00:06,7,4,0,13,9,0,33,0.55
190,6.328879811749976,0:00:06,7,4,0,13,9,0,33,0.55
191,6.362189705496029,0:00:06,7,4,0,13,9,0,33,0.55
192,6.395499599242081,0:00:06,7,5,0,12,9,0,33,0.55
193,6.428809492988134,0:00:06,7,4,0,14,10,0,35,0.5833333333333334
194,6.462119386734186,0:00:06,7,2,0,14,10,0,33,0.55
195,6.495429280480239,0:00:06,7,2,0,14,9,0,32,0.5333333333333333
196,6.528739174226291,0:00:06,7,2,0,13,9,0,31,0.5166666666666667
197,6.562049067972343,0:00:06,7,2,0,13,9,0,31,0.5166666666666667
